cbsa,year,peducgrp,age_cat,prob_unbanked_wage,prob_unbanked_se,prob_unbanked_notwork,prob_mobile_wage,prob_mobile_se,prob_mobile_notwork,prob_branch_wage,prob_branch_se,prob_branch_notwork,pct_broadband,female,married,has_children,n
19740,2013,3,3,.055077381,0,.03220911,.032275103,0,0,.74223852,.17040899,.092242777,93.900002,.43335566,.59843665,.24869978,35
19740,2013,4,3,.019685831,0,0,.030307679,0,.017198756,.80197316,.14803334,.033614032,93.900002,.41154811,.54956019,.28641284,57
19740,2015,4,2,0,0,0,.19368681,.041621648,0,.64820433,.11648718,0,93.900002,.48682386,.57751727,.43423772,38
19740,2015,4,3,0,0,0,.040459033,.020007923,0,.85980624,.079726778,.051929832,93.900002,.42088133,.59529465,.21703804,30
19740,2017,4,3,0,.031879321,0,.032283328,0,0,.86696494,.068872392,0,93.900002,.37578785,.6625936,.35012361,30
19820,2013,4,2,0,0,0,.06237768,0,0,.87263298,.064989366,.051591616,90.900002,.41001946,.69503945,.69354469,33
19820,2013,3,3,0,.028945712,0,.063592978,0,0,.71196055,.19550073,.12178581,90.900002,.54847044,.54145658,.29099169,31
19820,2013,4,3,0,0,0,.022957999,0,0,.83797944,.13906255,.028833412,90.900002,.38837633,.63585961,.3603791,36
19820,2017,4,2,0,0,0,.16178504,.037031449,0,.74648654,.054696959,0,90.900002,.35529241,.62388057,.54698753,33
19820,2017,4,3,0,0,0,.13694224,0,0,.74218637,.1208714,0,90.900002,.43586162,.79476625,.53094047,39
25540,2013,4,3,0,0,0,.069222048,0,0,.83754128,.093236662,.12166815,90.800003,.54964328,.66695505,.36376721,32
26420,2013,3,2,.14720772,0,0,.14062895,0,0,.63427836,.077885002,0,91.800003,.49449083,.38329187,.58422577,34
26420,2013,4,2,0,0,0,.26550791,0,0,.71801561,.016476495,.014706141,91.800003,.39905262,.53776675,.47057614,55
26420,2013,3,3,.056350879,0,0,.10054452,0,0,.78326297,.059841622,0,91.800003,.55892432,.52121109,.18686302,31
26420,2013,4,3,.022907721,0,0,.095854215,.041194052,.019103553,.73456746,.086372972,.15158822,91.800003,.50565058,.49941897,.24357639,46
26420,2015,3,2,.085189819,0,0,.1404956,.056388482,0,.66237795,.055548135,.026655611,91.800003,.48151699,.49763706,.59411162,32
26420,2015,4,2,0,0,0,.16514941,.023729932,0,.81112069,0,0,91.800003,.31155986,.64754367,.56610781,39
26420,2015,4,3,.032663759,0,0,.09813299,0,0,.76866758,.10053565,0,91.800003,.38826254,.68401474,.32941747,43
26420,2017,4,2,.02618943,.027751166,0,.23238,0,0,.71367943,0,0,91.800003,.36701354,.62789941,.64851326,38
26420,2017,3,3,.11935557,0,.069797963,.028337574,0,0,.74721682,.10509004,.028176876,91.800003,.61135292,.54572231,.25336662,31
26420,2017,4,3,0,0,0,.090193175,.023243252,0,.83523029,.051333278,.026592486,91.800003,.45550424,.67981249,.30258259,45
26420,2019,4,2,0,.025987038,0,.023231314,0,0,.89901352,.051768132,.056326337,91.800003,.42245117,.60040545,.54536235,39
26420,2019,4,3,0,0,0,.029033536,0,0,.89422399,.076742455,.088656083,91.800003,.30737045,.59706271,.36814073,38
26420,2021,4,2,.052409332,0,0,.2970494,0,0,.55545312,.095088162,0,91.800003,.41461065,.53861713,.51754582,37
26420,2021,4,3,0,.025691643,.025691643,.27301076,.027978066,.039577354,.48981127,.18350826,.023177251,91.800003,.35844341,.66461736,.40798619,37
26420,2023,4,2,.055268291,0,0,.32550773,0,0,.48457518,.1346488,0,91.800003,.31591251,.71069825,.75478488,33
26420,2023,4,3,0,0,0,.13128096,.017525589,0,.67777056,.17342289,.022255009,91.800003,.29743868,.71093136,.4333199,50
28140,2013,4,2,.10105326,0,.051075056,.017659571,0,0,.73987782,.14140935,0,91.300003,.48246738,.69312334,.59552401,31
28140,2013,4,3,.021208147,0,0,.029341226,0,0,.87750709,.071943536,.043503016,91.300003,.3573336,.67747301,.22105049,32
28140,2015,4,3,0,0,0,.017992007,0,0,.87236446,.10964355,.016677156,91.300003,.33950236,.75489146,.43938202,45
28140,2017,4,3,0,0,0,.11939312,0,0,.81438905,.06621784,0,91.300003,.33710292,.66452712,.24492905,31
29820,2013,3,2,.11767262,0,0,.034290966,0,0,.84803641,0,.027822172,90.599998,.27654374,.57305783,.51439017,30
29820,2013,4,3,0,0,0,.082681231,0,0,.80401856,.11330022,.056497991,90.599998,.43018368,.410981,.26160637,38
29820,2019,4,3,0,0,0,0,0,0,.79251289,.20748712,.056747679,90.599998,.42460874,.45158049,.2764515,33
31080,2013,4,1,.022540104,0,0,.10237701,.025618501,0,.77729756,.07216686,.017408939,92.400002,.3537809,.239572,.1381817,38
31080,2013,1,2,.46981066,.065173067,.14240937,0,0,0,.35469586,.1103204,.026545523,92.400002,.2905038,.61107546,.78448039,31
31080,2013,2,2,.16891694,0,.025855003,.07442522,0,.029025745,.66861337,.088044479,.026901541,92.400002,.42090228,.57232571,.75256896,37
31080,2013,3,2,.10469751,0,.018778015,.071812116,.017962815,0,.64706838,.15845916,.047733195,92.400002,.3859466,.42206058,.62696844,58
31080,2013,4,2,0,0,0,.17795521,0,0,.67454565,.14749917,.053721603,92.400002,.46784136,.64261025,.46027291,72
31080,2013,1,3,.25667515,.024046009,.06476251,.070636854,0,0,.53084099,.11780099,.017150957,92.400002,.42437184,.68714547,.46397749,53
31080,2013,2,3,.031667508,0,.016165875,.15849276,0,0,.72070825,.089131474,.087047137,92.400002,.37545049,.58130342,.37506887,53
31080,2013,3,3,.025666408,0,.025666408,.068583645,0,.027330961,.80109608,.10465384,.14979064,92.400002,.49591962,.55999643,.31339595,74
31080,2013,4,3,.031602766,0,.019312395,.054312322,.032780949,.0095094303,.74534374,.13596019,.049849201,92.400002,.45154995,.57737929,.27855858,93
31080,2015,2,2,.20068379,.025378225,.05234196,.15042362,0,0,.59573513,.02777924,0,92.400002,.35018328,.57006359,.59493643,39
31080,2015,3,2,0,.036218859,0,.11856983,0,0,.78116733,.064043991,.10958659,92.400002,.27901274,.45559767,.41160047,30
31080,2015,4,2,0,0,0,.10463857,.013497013,.012914157,.72225565,.15960875,.065804355,92.400002,.43680069,.52094924,.41466814,72
31080,2015,2,3,0,0,0,.070119821,.046064641,0,.66640961,.2174059,.024649819,92.400002,.49514106,.57143617,.23632325,35
31080,2015,3,3,.038618732,0,0,.076702774,.012693834,.040374409,.7418322,.13015248,.053144056,92.400002,.48676404,.55152619,.29865322,59
31080,2015,4,3,0,0,0,.071314484,.012442959,.010979957,.75579965,.16044289,.044275776,92.400002,.33625588,.7138446,.33656019,77
31080,2017,4,2,.022403227,0,0,.14430906,.031248977,.011568056,.67202014,.11873274,.050571114,92.400002,.4352791,.55054915,.36382613,92
31080,2017,2,3,0,0,0,.25571078,0,0,.62788016,.11640907,.049601618,92.400002,.42878723,.54862338,.27421576,40
31080,2017,3,3,.034638982,0,0,.10654396,.071437828,.036522228,.67063344,.11674581,.063899182,92.400002,.54154217,.43054003,.23455814,48
31080,2017,4,3,.012044884,0,0,.1058872,.010856292,.021266812,.70708776,.16412389,.023639796,92.400002,.37625921,.59504855,.4371902,92
31080,2019,3,2,.10433266,0,.041819867,0,0,0,.76885563,.12681174,0,92.400002,.37952036,.34530762,.51682979,32
31080,2019,4,2,.015023533,0,.015023533,.031075248,.014613729,0,.75991315,.17937435,.061186135,92.400002,.44260311,.44016334,.27091774,70
31080,2019,1,3,.20800054,0,0,.051490422,0,.028056545,.62176126,.11874779,0,92.400002,.35564446,.63795698,.46602467,35
31080,2019,2,3,.03229316,0,0,.026382135,0,0,.80771464,.13361005,.027244305,92.400002,.42088458,.46749488,.076131046,35
31080,2019,3,3,.053900912,.025879234,0,.02017297,0,0,.80593044,.094116464,.018689532,92.400002,.44921842,.62897956,.37833276,49
31080,2019,4,3,0,0,0,.046777833,0,0,.71450144,.23872073,.028196862,92.400002,.41735238,.619093,.25823224,101
31080,2021,4,2,0,0,0,.098095633,0,.016205009,.70455253,.19735186,.018452924,92.400002,.38925624,.46885297,.36577713,58
31080,2021,2,3,.032832574,0,0,.033117626,0,0,.78209144,.15195838,0,92.400002,.33762378,.65010738,.13972631,32
31080,2021,3,3,0,0,0,.062772326,.02149339,0,.78295267,.13278161,.023388708,92.400002,.35983965,.56353605,.31492129,41
31080,2021,4,3,.014105346,0,0,.065571502,0,.013426229,.69831753,.22200561,.066830806,92.400002,.46521792,.62577099,.3438614,73
31080,2023,2,2,.036690909,.06129365,0,.115711,0,0,.78630441,0,.082705393,92.400002,.3318823,.39727274,.51336485,31
31080,2023,4,2,.026458383,0,0,.17173,0,0,.64503711,.15677449,.059835561,92.400002,.43618336,.46858737,.32066101,74
31080,2023,2,3,.042974226,0,0,.17218256,0,0,.73266643,.052176796,.045312792,92.400002,.46244779,.52004379,.3560732,43
31080,2023,3,3,0,0,0,.077864856,0,.026969029,.81234878,.10978635,0,92.400002,.45938772,.76128763,.42948854,31
31080,2023,4,3,.028780902,0,0,.10581668,0,0,.70352614,.16187628,.039947733,92.400002,.4410592,.56990701,.33459401,76
31700,2017,4,3,0,0,0,.1311591,0,0,.67123026,.19761063,.062949531,92.800003,.54609925,.59760141,.39578828,31
33100,2013,4,2,0,.030957198,0,.030957198,.025726512,0,.88902652,.023332594,.084560692,89.199997,.51860607,.54305667,.60489231,35
33100,2013,2,3,.065902703,0,.031754401,.031547345,0,0,.78052044,.12202951,.034083385,89.199997,.57601374,.43576178,.14811699,31
33100,2013,3,3,.025327981,0,0,.019233262,.044567995,0,.80241454,.10845625,.019604031,89.199997,.63205707,.47690415,.20654017,43
33100,2013,4,3,0,0,0,.081028894,0,0,.77656126,.14240983,.035183042,89.199997,.33131361,.41134283,.15828453,53
33100,2015,4,2,0,0,0,.1703546,0,0,.66870844,.16093698,.052503403,89.199997,.48674402,.36980224,.3897115,35
33100,2015,3,3,.02662014,0,0,.2133366,.030866282,0,.55900717,.17016979,.026686268,89.199997,.34292912,.62977332,.30671978,35
33100,2015,4,3,.022755962,0,0,.13023241,.020066345,0,.66761553,.15932974,.035387263,89.199997,.41392991,.52767664,.24592258,45
33100,2017,4,2,.030741446,0,.042586606,.15168579,0,0,.57482362,.20016256,0,89.199997,.29909799,.64253467,.47516322,30
33100,2017,3,3,.085009277,0,.085009277,.18637711,0,0,.63919801,.089415595,0,89.199997,.4210282,.35458115,.20006466,31
33100,2017,4,3,.027493626,0,0,.081325315,.01860149,0,.59284776,.27973178,0,89.199997,.39995962,.63617557,.2144323,46
33100,2019,4,3,0,0,0,0,.023831524,0,.71551275,.26065573,.029723797,89.199997,.60542554,.44701231,.32287544,31
33100,2021,4,3,0,0,0,.14232092,.025893411,0,.70893306,.12285261,0,89.199997,.49143508,.63688445,.4237296,31
33100,2023,4,3,0,0,0,.10111535,.13733497,0,.6463533,.11519636,0,89.199997,.37766173,.54067618,.34724388,41
33460,2013,4,1,0,0,0,0,0,0,.96377105,.03622894,0,92.800003,.57558554,.44861108,.16875803,30
33460,2013,3,2,.047327325,0,0,.02014151,.071387433,0,.81121743,.049926318,.054651778,92.800003,.50231165,.39543051,.70692259,42
33460,2013,4,2,0,0,0,.089878865,0,.014616152,.88654506,.02357606,.014616152,92.800003,.41410816,.74027896,.66140229,66
33460,2013,2,3,.090279654,0,0,.046430375,0,.024816979,.83619148,.027098477,.025088616,92.800003,.47854879,.52436978,.12891841,37
33460,2013,3,3,.014368301,0,0,.055217315,0,0,.81365299,.11676138,.028479788,92.800003,.35540804,.49724218,.21553513,68
33460,2013,4,3,0,.013570568,0,0,0,0,.83726329,.14916615,.027708666,92.800003,.4368493,.69520962,.28734589,80
33460,2015,4,2,0,0,0,.12842198,0,0,.82883328,.042744771,.091349155,92.800003,.45945013,.7279284,.67579877,40
33460,2015,4,3,0,0,0,.10782541,0,0,.77032107,.12185354,.03238003,92.800003,.39927959,.58074462,.23371483,31
33460,2017,4,2,0,0,0,.28360859,.026685474,0,.63572311,.053982809,.027792886,92.800003,.54053366,.58596951,.57218558,40
33460,2017,3,3,0,0,0,.055174563,0,0,.94482541,0,.02381954,92.800003,.46289241,.59777057,.25433359,31
33460,2017,4,3,0,0,0,.16373716,0,0,.62125188,.21501093,.072618484,92.800003,.4356434,.71724755,.45312262,41
33460,2019,4,3,.029209984,0,0,.032181654,0,0,.83300686,.10560153,.059138935,92.800003,.36706299,.5021764,.26531935,37
33460,2021,4,2,0,0,0,.1502863,0,0,.77709496,.07261873,0,92.800003,.54966587,.63421488,.59832114,43
