"design","N","rep","K_est","loglik","bic_standard","bic_panel","cf_effect","gamma_weighted","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
"Same-Sign",10000,32,2,-21353.7368234326,42937.7321561645,42861.5347362459,-7.05919326836464,0.0965330834729836,2,5,2,2
"Same-Sign",10000,32,3,-21752.6689532874,43855.3308407099,43739.5107624336,-2.54177627245391,0.0161931581274349,2,5,2,2
"Same-Sign",10000,32,4,-21590.8111949097,43651.3497487902,43495.9070121563,13.8323399682132,0.0234788610809052,2,5,2,2
"Same-Sign",10000,32,5,-21507.0302221007,43603.5222280079,43408.4568330163,2.85954983878616,0.0232425830244113,2,5,2,2
"Same-Sign",10000,33,1,-21802.9822047328,43716.4884939293,43679.9137323683,22.2781274539819,0.0417024636286338,5,5,3,5
"Same-Sign",10000,33,2,-21671.0047480856,43572.2680054706,43496.070585552,3.68155647338186,0.0342161525961245,5,5,3,5
"Same-Sign",10000,33,3,-21790.8192966875,43931.6315275101,43815.8114492339,-0.0367966012063467,0.00355182184922742,5,5,3,5
"Same-Sign",10000,33,4,-21512.6989888265,43495.1253366239,43339.6825999899,6.35095155171663,-0.00734036368951086,5,5,3,5
"Same-Sign",10000,33,5,-21399.4653782667,43388.3925403398,43193.3271453482,-6.14932357751835,0.0366584298718267,5,5,3,5
"Same-Sign",10000,34,1,-21465.634681972,43041.7934484077,43005.2186868468,4.64941665182748,0.00758351649633423,1,5,3,1
"Same-Sign",10000,34,2,-21790.168858133,43810.5962255655,43734.3988056469,2.72537456188697,0.0410994424935047,1,5,3,1
"Same-Sign",10000,34,3,-21797.6018679978,43945.1966701307,43829.3765918544,5.78822120553817,-0.0107121289197801,1,5,3,1
"Same-Sign",10000,34,4,-21670.4549000291,43810.637159029,43655.1944223951,13.9467127505729,0.0101467502677641,1,5,3,1
"Same-Sign",10000,34,5,-21751.0661196423,44091.5940230911,43896.5286280995,-0.233633990672778,0.0306623876033753,1,5,3,1
"Same-Sign",10000,35,1,-21499.3462682271,43109.216620918,43072.641859357,1.835895436999,0.0197029365167041,4,4,2,4
"Same-Sign",10000,35,2,-21633.4029104015,43497.0643301024,43420.8669101838,12.0301472482156,0.0409153680886493,4,4,2,4
"Same-Sign",10000,35,3,-21480.1569004479,43310.3067350309,43194.4866567547,-1.77271587921898,0.0287031454638895,4,4,2,4
