"gamma_bar","rep","K_est","cf_effect","k_selected_consensus","gamma_weighted","bic_panel"
0,37,2,0.780163464838953,1,0.0532512194925727,43828.5893646138
0,37,3,9.94465120827747,1,0.0112818852353164,43777.1498408236
0,37,4,9.67388121432071,1,0.0308523861393903,44037.1960626788
0,37,5,9.02333494528487,1,0.00535986276729923,44092.8373820378
0,38,1,-0.752758080577955,1,0.0606084532446686,42667.0710210216
0,38,2,-5.96678738734723,1,0.0628746031780531,43611.9040036187
0,38,3,1.27972710212018,1,0.0181395121918346,43513.1647456234
0,38,4,3.39552946038766,1,0.0341596030952284,43658.7393766832
0,38,5,1.56994370372731,1,0.016848772978998,43784.2564875045
0,39,1,-4.00490786993978,1,0.0331448625563789,43077.479131415
0,39,2,16.7626331466409,1,0.00941148673841496,43427.9341741062
0,39,3,12.3654296978636,1,0.0188128453269757,43576.8479423272
0,39,4,12.6202744481034,1,0.0203009420968151,44320.3375496771
0,39,5,9.98527814545985,1,-0.0127282628753903,43612.3411513521
0,40,1,17.859939826462,4,0.0501295132299318,43856.1625833127
0,40,2,10.2958323892219,4,0.0155905967013532,44227.4571764166
0,40,3,2.16878635278411,4,0.0267972415336058,43801.0584859975
0,40,4,9.59986651660786,4,0.0383183816113839,43582.2581057354
0,40,5,4.22964664978727,4,0.0240441483527167,43783.7768547891
0,41,1,9.49756318380258,5,0.0105425956829373,43689.8144380867
0,41,2,6.61635265426387,5,0.056718625681826,43611.0764960018
0,41,3,4.37889890281542,5,0.000458484843539535,43473.6135891699
0,41,4,8.74573218470683,5,-0.00272749633075298,43803.3727126893
0,41,5,3.06280231969218,5,0.044697145985343,43357.6857327852
0,42,1,0.4665343333835,4,0.0690273827627125,44155.3966146927
0,42,2,13.0772647021328,4,-0.00346837078405795,43601.1201905621
0,42,3,-0.869969075210775,4,0.0207346481090972,43831.1757367977
0,42,4,16.6627455306091,4,0.0289351906049984,43189.8885977217
0,42,5,10.1076857730218,4,0.00898475104423645,43808.2748451742
0,43,1,15.4902955943116,1,0.0115077719715955,43475.5582116425
0,43,2,15.5013691752221,1,0.0371097702252293,43512.768999623
0,43,3,11.8444107865929,1,0.0249542622464276,43805.2775902496
0,43,4,6.42627396251084,1,0.0350831679579488,43656.4136005304
0,43,5,5.44956556200099,1,0.00344343065403943,43769.8484304771
0,44,1,6.28798113921941,1,0.073063476012993,43726.3499705905
0,44,2,24.053731647794,1,0.0435118813284715,43743.2365576788
0,44,3,13.7225181665165,1,0.00497735032604273,43461.3952176718
0,44,4,4.7819879140235,1,0.0136147751617337,43330.8510221371
0,44,5,6.58103609227933,1,0.0197421276944628,43415.8063902628
0,45,1,-3.77752176219569,5,0.0693324037636263,43440.8891630608
0,45,2,4.19768206526388,5,-0.0261456049764277,43437.8978649285
0,45,3,15.4933451984654,5,-0.00979753409768976,43805.5967557963
0,45,4,18.6045520099752,5,0.00665133774475439,44075.7552130365
0,45,5,7.14341722309107,5,0.0299635800208881,43429.2428644529
0,46,1,21.279190849352,3,-0.0152544870098772,43650.3872074863
0,46,2,-0.0335291361370207,3,0.0366854574031822,43386.42432347
0,46,3,9.28093326759639,3,-0.0244584309108854,42798.4382329747
0,46,4,-3.01511605100345,3,0.0424438574256109,43462.4877426441
0,46,5,-0.0831142255912797,3,0.0198657243436196,43536.5636066224
0,47,1,14.6680015393204,2,-0.00116181913526236,43330.2790343719
0,47,2,12.5302910268372,2,0.0150823788501811,43961.6518652388
0,47,3,11.6568859076923,2,0.0112478457933489,43535.7974288893
0,47,4,7.01590147727896,2,0.00729827387537191,43246.0938200137
0,47,5,18.4125642203938,2,0.00766146717045433,43309.6791466378
0,48,1,1.14579000950619,2,0.0816510050407087,43377.3760002132
0,48,2,7.65380454556287,2,0.050322131720876,43102.1657237883
0,48,3,14.5547404726431,2,0.0254443165771425,43658.2367640873
0,48,4,-0.107206758652508,2,0.00621284450296915,43681.1000830013
0,48,5,-1.30879475422823,2,0.0303256816213207,43388.933430939
0,49,1,1.27842230655911,3,-0.00736987657274227,42955.5826096295
0,49,2,0.0972550729863104,3,0.0154180246135446,43568.9079891527
0,49,3,-5.25963030558084,3,0.0401895904876031,42900.9001575437
0,49,4,8.13724762343818,3,0.00354423728502001,43512.6335866286
0,49,5,7.89669230468511,3,0.013033058499119,43874.529267564
0,50,1,14.8151482699318,1,-0.00268875072037987,43022.0907535176
0,50,2,-1.20564684332458,1,0.0434218705363511,44126.4683101383
0,50,3,6.39432849319924,1,0.0167348817770446,44323.1792055325
0,50,4,7.08213972132002,1,-0.00309058174035781,43788.3752478596
0,50,5,6.86027996301961,1,0.0125532424759704,43440.3160316072
0.02,1,1,16.0722428733946,1,0.0210233558822955,43653.1660014726
0.02,1,2,-5.22746684718331,1,0.0316337009785608,43830.7905195212
0.02,1,3,-2.87419339782395,1,0.0121019608117598,43545.9007773883
0.02,1,4,1.38535207013398,1,0.0252191658334222,44237.9016783212
0.02,1,5,10.2039412022211,1,0.0185479690639515,43647.8204230097
0.02,2,1,8.89724688592895,1,-0.0247309387005883,42783.6756433463
0.02,2,2,3.05575487856928,1,-0.00863317026301345,42919.9788209027
0.02,2,3,8.40132542302376,1,0.00323198152749563,43306.408321101
0.02,2,4,7.12549597848147,1,0.00919979770361844,43557.4513252336
0.02,2,5,5.23066266918301,1,0.0309734124612239,43437.2958067216
0.02,3,1,17.4417735225239,5,0.0071015221743398,43778.1072023632
0.02,3,2,16.5629937831796,5,-0.0387736612496139,43582.4910925482
0.02,3,3,2.40862819142352,5,0.0190821500402497,43390.5916984697
0.02,3,4,6.92479203401836,5,0.0193013342771847,43602.3127977387
0.02,3,5,8.30305681064604,5,0.0108353732791715,43844.1019441471
0.02,4,1,12.5731358630819,5,0.0976764726970234,44431.7610421072
0.02,4,2,7.30073373630036,5,0.0509173773765619,43843.6764683008
0.02,4,3,18.4407830932013,5,0.0117404577793941,43367.2554553217
0.02,4,4,1.65174480897799,5,0.02320572832904,43393.0068857681
0.02,4,5,-4.54923026790376,5,0.025168597980181,43192.1445520554
0.02,5,1,1.97558617464183,2,0.0701676633008892,43448.2793068491
0.02,5,2,11.6706483704132,2,0.00768125069759611,43713.5533349427
0.02,5,3,0.820763886598609,2,0.0157201829389348,43307.5564807895
0.02,5,4,-3.37370190643806,2,0.0360103941355714,43532.6172787671
0.02,5,5,-4.64206959741459,2,0.0325066449619221,43527.3474485831
0.02,6,1,-4.81975996502639,4,0.0982718009873525,43743.685356612
0.02,6,2,2.53656096495327,4,0.0265654504614488,44113.8761814558
0.02,6,3,4.74382444033924,4,0.0165600991373142,43675.6228668295
0.02,6,4,5.5554598275599,4,0.00914609024490847,43649.8801833056
0.02,6,5,0.419402173889875,4,-0.00562229363483686,44137.1305934268
0.02,7,1,5.05208516205352,5,0.029374664681183,43641.006302614
0.02,7,2,16.3235712258237,5,-0.000894498646489113,43827.7904121435
0.02,7,3,0.385187731597418,5,0.0127266509962583,43232.2523092995
0.02,7,4,8.62357083581749,5,0.03310718109174,43281.9202699299
0.02,7,5,3.23379112921956,5,0.0195783243028524,43687.4277620244
0.02,8,1,1.44820257271839,2,0.0761991340636568,43367.0956426113
0.02,8,2,12.2845970837328,2,0.0386911586368882,43164.8448959962
0.02,8,3,16.9779706666421,2,0.0119190020210839,44142.0756598606
0.02,8,4,5.93541644952239,2,0.0186815583999145,43466.4027844329
0.02,8,5,-1.40315610968322,2,0.0374772819902131,43491.8303798729
0.02,9,1,5.53999941996598,4,0.0579390424838588,42779.6381116619
0.02,9,2,10.2606064275311,4,0.0362869048745273,43375.3510141251
0.02,9,3,4.48853963795155,4,0.0426899585709354,43592.7516687446
0.02,9,4,3.2633867475647,4,0.0157886167422428,44189.8402818806
0.02,9,5,11.2433714460952,4,0.02242981406164,43628.7249038508
0.02,10,1,16.2419306800072,2,0.00717154346700084,44015.5253835678
0.02,10,2,10.0066343231019,2,0.0412716192623164,43204.2964188741
0.02,10,3,14.3256325902252,2,0.00921368311503692,43979.7231759464
0.02,10,4,7.02155050974104,2,0.0166539648836319,43491.1769242339
0.02,10,5,16.849529734348,2,-0.00676020939476502,44406.6873334661
0.02,11,1,12.8653944916689,2,0.0285289029879177,43273.6471708513
0.02,11,2,-6.94743939899749,2,0.0334235373364931,43237.8280862209
0.02,11,3,1.71696770267974,2,0.0472739495449405,43441.3418877657
0.02,11,4,5.77053162033962,2,0.00985792868741805,43870.5566698316
0.02,11,5,8.60055217484467,2,0.0026355334754421,43772.1267892183
0.02,12,1,3.30825215297149,1,0.0716811347948441,42954.1029043337
0.02,12,2,7.24194332710592,1,0.0110159716737762,43650.8865118306
0.02,12,3,-0.388452493510976,1,0.0212272898144673,43711.7682828142
0.02,12,4,1.5626705673997,1,0.0127861372202338,43458.4988159487
0.02,12,5,13.8282025309425,1,-0.00241679654472728,43533.0784455158
0.02,13,1,9.93435887017973,3,0.0680756039011032,43459.9933544068
0.02,13,2,21.5994952148869,3,0.0365864692755671,43968.6324116828
0.02,13,3,4.35638378395367,3,0.00567598974966903,43175.8037443774
0.02,13,4,-0.128411965317225,3,-0.00186127849009564,43515.3845974717
0.02,13,5,-2.72629775443594,3,0.0122095320041498,43852.1429164953
0.02,14,1,1.57188763842623,1,0.0721178271338581,42418.1017289636
0.02,14,2,3.65028920478397,1,0.0155726158653611,43692.4858581512
0.02,14,3,10.9395048582256,1,0.0265900707298501,44202.9715410234
0.02,14,4,10.0707036561396,1,0.0414389364641643,43151.1549276969
0.02,14,5,6.97162197736097,1,-0.00368525407830539,43189.8899108392
0.02,15,1,-2.17484114513625,2,0.0760067971363349,43298.5739717733
0.02,15,2,1.6117335892767,2,0.0430562607122389,43195.1337121332
0.02,15,3,3.05315816364682,2,0.0604465382062839,43534.658374916
0.02,15,4,12.6978407222755,2,-0.00560377389891997,43982.4427866731
0.02,15,5,8.30507318971538,2,-0.00888074845447977,44081.8361748165
0.02,16,1,1.98283358473808,4,0.0838601939867262,43844.5348633817
0.02,16,2,8.85929494665652,4,0.050705675462865,43832.5654684721
0.02,16,3,5.71537358261248,4,0.04060045947057,43760.9982208838
0.02,16,4,11.4366865665423,4,0.0238913147154715,43497.8632034121
0.02,16,5,13.6155920685383,4,0.00801580948616565,43662.6454431783
0.02,17,1,-2.3329604814127,1,0.108549679958331,42822.8682725075
