"design","N","rep","K_est","loglik","bic_standard","bic_panel","cf_effect","se_rate_baseline","se_rate_cf","gamma_weighted","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
"Cancellation",10000,83,3,-6026.58245571021,12182.1096766281,12139.4391214737,-0.671139060705767,0.2918,0.289841616220861,0.00383778134050858,1,3,5,1
"Cancellation",10000,83,4,-6030.90155580993,12236.7995786874,12178.8895395493,1.90878010127022,0.2918,0.297369820335507,-0.000905522250125943,1,3,5,1
"Cancellation",10000,83,5,-6041.42029782673,12303.8887645809,12230.7392414591,-0.622439483979961,0.2918,0.289983721585746,0.0108050796674355,1,3,5,1
"Cancellation",10000,84,1,-6054.88730985201,12146.6159811919,12134.4243940049,-3.87447020522631,0.2954,0.283954815013761,0.109708742859592,1,3,5,1
"Cancellation",10000,84,2,-6055.95959603907,12194.8122554259,12167.3811842552,0.337734085167112,0.2954,0.296397666487584,-0.0075833881576301,1,3,5,1
"Cancellation",10000,84,3,-6061.31053658982,12251.5658383873,12208.8952832329,-1.35946765450847,0.2954,0.291384132548582,0.0388571913891912,1,3,5,1
"Cancellation",10000,84,4,-6061.85816884367,12298.7128047549,12240.8027656167,0.621313687914336,0.2954,0.297235360634099,0.020543867295994,1,3,5,1
"Cancellation",10000,84,5,-6061.03816700809,12343.1245029436,12269.9749798218,-1.02088809952793,0.2954,0.292384296553995,0.0178690152521079,1,3,5,1
"Cancellation",10000,85,1,-5951.27581383085,11939.3929891496,11927.2014019626,-2.70607687291104,0.285,0.277287680912204,0.0888857899847539,1,4,5,1
"Cancellation",10000,85,2,-5972.1763982721,12027.245859892,11999.8147887213,2.12237934043464,0.285,0.291048781120239,-0.020876283705786,1,4,5,1
"Cancellation",10000,85,3,-5966.97208103327,12062.8889272742,12020.2183721198,-0.991980827591613,0.285,0.282172854641364,0.0384343568905881,1,4,5,1
"Cancellation",10000,85,4,-5966.56421490196,12108.1248968715,12050.2148577333,0.263569527168794,0.285,0.285751173152431,0.0215478542692528,1,4,5,1
"Cancellation",10000,85,5,-5974.67509827742,12170.3983654823,12097.2488423604,1.43959355017312,0.285,0.289102841617993,-0.00712892873141603,1,4,5,1
"Cancellation",10000,86,1,-5976.77756832442,11990.3964981367,11978.2049109498,-7.51825689331519,0.2864,0.264867712257545,0.190500768883404,1,4,5,1
"Cancellation",10000,86,2,-5978.3452743689,12039.5836120856,12012.1525409149,-1.67802555670843,0.2864,0.281594134805587,0.058689980865617,1,4,5,1
"Cancellation",10000,86,3,-5980.87310342509,12090.6909720578,12048.0204169034,1.22520079885902,0.2864,0.289908975087932,0.00774558607725122,1,4,5,1
"Cancellation",10000,86,4,-5987.15694601638,12149.3103591003,12091.4003199622,-0.272434006854827,0.2864,0.285619749004368,-0.0198465955187408,1,4,5,1
"Cancellation",10000,86,5,-5984.75527207036,12190.5587130682,12117.4091899463,-3.39821222582863,0.2864,0.276667520185227,0.0271748918933559,1,4,5,1
"Cancellation",10000,87,1,-5963.95430217271,11964.7499658333,11952.5583786464,8.04746468164422,0.282,0.304693850402237,-0.168277546032584,2,5,4,2
"Cancellation",10000,87,2,-5936.92829886995,11956.7496610877,11929.318589917,0.780714489706651,0.282,0.284201614860973,-0.0255339182865252,2,5,4,2
