"N","rep","K_est","loglik","bic","n_params","cf_effect_pp","cf_effect_pct","purchase_base","purchase_cf","gamma_weighted","converged","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
10000,69,1,-673471555044.057,1346943110124.95,4,0,NA,0,0,-40369034.9512578,FALSE,2,3,5,2
10000,69,2,-6858.08711877501,13799.0673008978,9,0,0,0.4395,0.4395,-6841448.84686848,TRUE,2,3,5,2
10000,69,3,-6858.08711877501,13845.1190027577,14,0,0,0.4395,0.4395,-4832084.46527317,TRUE,2,3,5,2
10000,69,4,-6858.08711877501,13891.1707046176,19,0,0,0.4395,0.4395,-5163491.82769004,TRUE,2,3,5,2
10000,69,5,-6858.08711877501,13937.2224064775,24,0,0,0.4395,0.4395,-4983043.80059455,TRUE,2,3,5,2
10000,70,1,-444723527532.987,889447055102.815,4,0,NA,0,0,-48966480.8497326,FALSE,3,5,2,2
10000,70,2,-6864.04010095023,13810.9732652482,9,0,0,0.442,0.442,-19976852.7816533,TRUE,3,5,2,2
10000,70,3,-6836.40416492189,13801.7530950514,14,0.864201823088417,1.99419846742051,0.442,0.433357981769116,-3978943.25410192,TRUE,3,5,2,2
10000,70,4,-6853.52734431936,13882.0511557063,19,0.0099999999999989,0.0226295541977798,0.442,0.4419,1270186.05205452,TRUE,3,5,2,2
10000,70,5,-6864.04010095023,13949.1283708279,24,0,0,0.442,0.442,-6514613.32212884,TRUE,3,5,2,2
10000,71,1,-409213825152.002,818427650340.846,4,0,0,1,1,28020290.0569633,FALSE,2,3,5,2
10000,71,2,-6871.5100624179,13825.9131881836,9,0,0,0.4453,0.4453,-2239977.21198184,TRUE,2,3,5,2
10000,71,3,-6871.5100624179,13871.9648900435,14,0,0,0.4453,0.4453,-283363.425268094,TRUE,2,3,5,2
10000,71,4,-6871.5100624179,13918.0165919033,19,0,0,0.4453,0.4453,-5202432.76264034,TRUE,2,3,5,2
10000,71,5,-6871.5100624179,13964.0682937632,24,0,0,0.4453,0.4453,-7282099.35815511,TRUE,2,3,5,2
10000,72,1,-117095803827.131,234191607691.104,4,9.72000000000001,14.4085383931219,0.7718,0.6746,8819254.56973325,FALSE,3,4,5,3
10000,72,2,-6929.58988754264,13942.0728384331,9,-5.57,-11.3603915969814,0.4346,0.4903,-10258737.6494327,TRUE,3,4,5,3
10000,72,3,-6845.68299956837,13820.3107643444,14,0,0,0.4346,0.4346,-3502444.28518662,TRUE,3,4,5,3
10000,72,4,-6845.68299956837,13866.3624662043,19,0,0,0.4346,0.4346,-18818591.1954712,TRUE,3,4,5,3
