cbsa,year,peducgrp,praceeth3,age_cat,prob_se,prob_mobile,n
10740,2015,2,6,18-29,0,0,1
10740,2015,3,2,18-29,.20430094,.84557956,6
10740,2015,3,4,18-29,0,1,1
10740,2015,3,6,18-29,.20737004,.21366486,5
10740,2015,4,2,18-29,0,1,1
10740,2015,4,6,18-29,0,.4947044,3
10740,2015,1,2,30-44,.25532246,.3007746,5
10740,2015,1,3,30-44,0,0,1
10740,2015,2,2,30-44,0,.52367663,5
10740,2015,2,3,30-44,0,0,1
10740,2015,2,4,30-44,0,,1
10740,2015,2,6,30-44,.25270259,.25617364,4
10740,2015,3,2,30-44,0,.24335656,8
10740,2015,3,3,30-44,0,0,1
10740,2015,3,4,30-44,0,1,1
10740,2015,3,6,30-44,0,.44924226,9
10740,2015,4,1,30-44,1,1,1
10740,2015,4,2,30-44,0,.80915993,5
10740,2015,4,6,30-44,0,.28560886,9
10740,2015,4,7,30-44,0,0,1
10740,2015,1,2,45-64,0,0,5
10740,2015,1,4,45-64,0,0,1
10740,2015,2,2,45-64,0,.092795148,8
10740,2015,2,4,45-64,0,0,1
10740,2015,2,6,45-64,0,.27754143,6
10740,2015,3,2,45-64,.35768056,.56250203,8
10740,2015,3,6,45-64,.084358409,.51868135,15
10740,2015,4,1,45-64,0,0,1
10740,2015,4,2,45-64,0,.64952803,7
10740,2015,4,3,45-64,0,1,1
10740,2015,4,6,45-64,.077923365,.37952667,22
10740,2017,1,2,18-29,0,0,2
10740,2017,1,4,18-29,.48990378,0,2
10740,2017,1,6,18-29,0,1,1
10740,2017,2,2,18-29,0,.67810982,5
10740,2017,2,6,18-29,0,.49518412,2
10740,2017,3,1,18-29,0,1,2
10740,2017,3,2,18-29,0,.55135334,4
10740,2017,3,4,18-29,0,0,1
10740,2017,3,6,18-29,0,.62981367,6
10740,2017,3,7,18-29,0,1,1
10740,2017,4,1,18-29,0,1,1
10740,2017,4,2,18-29,0,.80630821,5
10740,2017,4,4,18-29,0,1,1
10740,2017,4,6,18-29,.3849431,1,3
