cbsa,year,hsupwgtk,age,metro,pct_broadband,female,married,se,branch,educ_cat,inc_quint,race_black,race_hispanic
22520,2015,3.0450099,46,1,80.800003,1,0,0,1,4,4,0,0
22520,2019,0,46,1,80.800003,0,1,0,0,4,5,0,0
12220,2019,0,61,1,86,1,0,0,0,3,3,0,0
13820,2015,2.4516973,34,1,88.800003,0,1,0,1,3,5,0,0
13820,2021,2.3219428,32,1,88.800003,1,1,0,0,2,3,0,0
13820,2015,3.1854656,29,1,88.800003,0,0,0,1,1,2,0,0
22520,2017,3.5276818,42,1,80.800003,0,0,0,1,2,4,0,0
33860,2015,0,30,1,88.900002,1,0,0,0,2,1,1,0
33860,2017,4.3222203,40,1,88.900002,1,1,0,1,4,5,1,0
33860,2019,0,51,1,88.900002,1,1,0,0,3,5,0,0
33860,2019,0,49,1,88.900002,0,0,0,0,1,1,1,0
33860,2021,7.5933957,38,1,88.900002,0,0,0,0,1,1,1,0
13820,2019,0,25,1,88.800003,0,0,1,0,3,4,0,1
33660,2021,3.9400179,45,1,85.800003,1,0,0,1,2,4,1,0
33860,2017,6.2803154,23,1,88.900002,1,0,0,0,2,2,1,0
13820,2015,2.2293477,36,1,88.800003,0,1,0,1,4,3,0,0
13820,2021,3.6010182,47,1,88.800003,0,0,1,1,2,3,0,0
13820,2019,3.5871675,44,1,88.800003,1,1,0,1,2,5,0,0
38900,2023,3.3805621,36,1,93.599998,0,1,1,1,3,5,0,0
33860,2017,0,28,1,88.900002,1,0,0,0,3,2,0,1
33860,2017,4.3893347,29,1,88.900002,1,0,0,1,4,3,1,0
12220,2017,0,30,1,86,1,0,0,0,1,1,1,0
12220,2017,0,52,1,86,0,0,0,0,1,3,0,0
19300,2019,2.7296541,42,1,89.900002,0,1,0,1,3,4,0,0
13820,2015,3.6494341,23,1,88.800003,0,0,0,0,4,3,0,0
13820,2017,0,38,1,88.800003,1,1,0,0,4,5,1,0
13820,2021,5.669745,28,1,88.800003,0,0,0,1,2,4,1,0
13820,2017,3.4015307,35,1,88.800003,1,1,0,1,3,5,1,0
13820,2023,4.9405398,49,1,88.800003,0,1,0,1,4,5,0,0
26620,2019,3.4078391,56,1,91,0,1,0,1,4,5,1,0
26620,2019,2.4584768,43,1,91,0,0,0,0,3,3,0,0
26620,2021,4.2610145,34,1,91,0,1,0,0,3,5,0,0
26620,2019,2.9661202,53,1,91,1,1,0,1,4,5,0,0
13820,2017,0,35,1,88.800003,1,1,0,0,4,5,0,0
33660,2019,0,45,1,85.800003,1,0,0,0,4,5,0,0
33660,2015,2.6189661,53,1,85.800003,0,0,1,1,1,1,0,0
33660,2017,0,22,1,85.800003,1,0,0,0,3,3,0,0
13820,2023,7.237771,25,1,88.800003,0,1,0,1,2,4,0,0
12220,2019,0,51,1,86,0,1,0,0,3,5,0,0
12220,2021,5.9332466,41,1,86,0,1,0,1,2,3,1,0
33660,2019,0,44,1,85.800003,1,1,0,0,3,4,0,0
19300,2015,2.2491436,55,1,89.900002,0,1,0,1,4,5,0,0
33660,2023,3.1746502,63,1,85.800003,1,1,0,1,3,5,0,0
12220,2015,0,49,1,86,1,1,0,0,3,5,0,0
26620,2021,2.3863878,37,1,91,0,1,0,1,4,5,0,0
33660,2019,0,53,1,85.800003,0,1,0,0,2,5,0,0
13820,2019,0,50,1,88.800003,0,1,0,0,1,4,0,0
13820,2019,2.5929303,29,1,88.800003,0,0,0,1,4,5,0,0
12220,2017,2.1987824,38,1,86,1,1,0,1,4,5,0,0
19300,2017,0,53,1,89.900002,1,1,0,0,3,5,0,0
13820,2015,3.1477461,45,1,88.800003,1,1,0,1,4,5,0,0
13820,2021,4.3244486,45,1,88.800003,0,1,1,1,2,3,0,1
33660,2017,4.6439037,63,1,85.800003,0,0,0,1,2,3,1,0
33660,2019,0,58,1,85.800003,1,0,0,0,2,5,1,0
19300,2019,4.2135439,36,1,89.900002,1,1,0,1,4,5,0,0
33660,2015,0,37,1,85.800003,1,0,0,0,4,2,1,0
33660,2019,0,31,1,85.800003,0,0,0,0,4,3,0,1
33660,2023,4.0026746,62,1,85.800003,1,1,0,1,2,3,0,0
26620,2017,2.5566869,58,1,91,0,0,0,0,3,5,0,0
19300,2019,0,57,1,89.900002,1,1,0,0,3,5,1,0
19300,2021,3.2410657,57,1,89.900002,0,0,0,1,3,3,0,0
13820,2019,0,43,1,88.800003,0,1,0,0,2,1,0,0
33660,2019,4.1306624,26,1,85.800003,1,0,0,1,4,5,0,0
13820,2019,0,44,1,88.800003,0,1,0,0,2,4,1,0
13820,2023,8.1743288,55,1,88.800003,0,1,0,1,4,5,0,0
12220,2017,2.6395216,46,1,86,0,1,0,1,4,5,0,0
13820,2017,0,58,1,88.800003,0,0,0,0,3,2,0,0
33660,2017,0,35,1,85.800003,0,0,0,0,3,1,0,0
33660,2021,3.9377322,57,1,85.800003,0,0,0,1,4,3,0,0
33660,2023,4.0962653,55,1,85.800003,0,1,0,1,4,5,0,0
13820,2017,0,56,1,88.800003,1,1,0,0,4,5,0,0
33660,2017,3.0627532,29,1,85.800003,1,1,0,1,4,5,0,0
19300,2017,2.7224214,56,1,89.900002,1,1,0,1,4,5,0,0
19300,2023,3.1412332,32,1,89.900002,0,0,0,1,2,5,0,0
33660,2017,2.5722926,42,1,85.800003,0,1,0,1,2,4,0,0
13820,2017,5.403151,55,1,88.800003,1,1,0,1,3,5,0,0
13820,2017,3.0332594,24,1,88.800003,1,0,0,1,4,2,0,0
13820,2015,0,27,1,88.800003,0,1,0,0,2,2,0,0
13820,2023,4.7656794,20,1,88.800003,0,0,0,1,2,5,0,0
13820,2019,0,58,1,88.800003,0,1,0,0,3,5,1,0
13820,2019,6.2287564,35,1,88.800003,1,1,0,1,2,4,1,0
13820,2019,0,45,1,88.800003,1,1,0,0,3,5,0,0
19300,2019,8.3750744,44,1,89.900002,0,0,1,1,3,5,1,0
19300,2021,2.8424921,33,1,89.900002,1,1,0,1,3,5,0,0
19300,2017,3.3653221,57,1,89.900002,0,1,0,0,2,5,1,0
19300,2017,0,35,1,89.900002,0,0,0,0,3,4,0,0
13820,2021,4.3456855,51,1,88.800003,0,1,0,1,3,5,0,0
13820,2017,6.9941583,24,1,88.800003,0,0,0,1,3,2,0,0
13820,2017,2.5864871,36,1,88.800003,0,1,0,0,4,5,0,0
38300,2023,8.2802715,30,1,88.800003,0,0,0,1,2,5,0,0
29460,2023,8.1182222,55,1,88.5,1,0,0,1,3,3,0,1
42660,2023,4.82479,43,1,94.5,0,1,0,0,3,5,0,0
44060,2023,4.8603573,37,1,91,1,1,0,1,3,5,0,0
41860,2015,6.0123672,40,1,94.099998,1,1,0,1,4,5,0,0
47900,2023,6.5167227,45,1,94.199997,1,0,0,0,1,5,0,1
22900,2023,3.3648052,35,1,83.599998,0,1,0,1,3,3,0,0
12700,2023,6.4755764,45,1,93.900002,0,1,1,1,2,3,1,0
14460,2023,7.3972259,57,1,92.900002,1,0,0,1,1,2,0,1
10740,2023,2.3103943,30,1,87.800003,1,0,0,1,1,2,0,0
16740,2023,6.9657731,42,1,91.699997,1,1,0,1,4,5,1,0
31540,2023,5.6223454,43,1,92,0,1,0,1,2,2,0,0
40140,2015,9.4348125,48,1,92.5,1,1,0,1,2,4,0,1
37100,2015,0,36,1,93.199997,1,1,0,0,4,5,0,0
26620,2015,3.8081143,49,1,91,0,0,0,0,2,2,1,0
29620,2023,3.9821758,53,1,89.800003,0,1,1,1,2,4,0,0
45060,2023,7.9797258,50,1,89.599998,1,1,0,1,2,5,0,0
40380,2023,5.6790652,60,1,89.300003,1,1,0,1,3,5,0,0
13740,2021,.7652989,29,1,90.400002,1,1,0,1,4,4,0,0
25540,2015,5.0721531,34,1,90.800003,0,0,0,1,4,5,0,0
43620,2023,1.3896774,45,1,92.800003,1,1,0,1,4,5,0,0
43620,2023,.96588701,58,1,92.800003,1,0,0,1,3,5,0,0
43620,2023,1.1073401,55,1,92.800003,1,1,0,1,3,5,0,0
39820,2015,6.2721004,24,1,89.800003,0,0,0,1,3,2,0,1
47300,2013,4.4463797,31,1,87.900002,0,0,1,1,3,4,0,1
